abbreviation,Season,assists,defensive_rebounds,field_goal_percentage,field_goals,free_throw_attempts,free_throws,opp_field_goal_attempts,opp_two_point_field_goal_attempts,points,total_rebounds,two_point_field_goal_percentage,predicted_rank_raw,actual_rank,predicted_rank
LAC,2020,1970,2936,0.471,3384,2340,1853,7490,5013,9442,3732,0.507,-2.035137792965429,5,1
GSW,2020,2413,2990,0.491,3612,1672,1339,7471,4718,9650,3787,0.557,2.406208523371305,2,2
TOR,2020,2085,2920,0.474,3460,1803,1449,7352,4793,9384,3706,0.539,2.598156213891542,4,3
SAS,2020,2013,2910,0.478,3468,1720,1408,7354,4676,9156,3667,0.513,3.410447383123369,6,4
MIL,2020,2136,3316,0.476,3555,1904,1471,7669,4693,9686,4078,0.565,5.532524267051144,1,5
LAL,2020,2096,2985,0.47,3491,1910,1336,7610,4826,9165,3820,0.541,5.707290508603592,8,6
POR,2020,1887,2968,0.467,3470,1914,1558,7384,4941,9402,3935,0.523,7.222077307138477,3,7
BOS,2020,2155,2849,0.465,3451,1598,1282,7222,4474,9216,3653,0.527,7.283310293495106,18,8
SAC,2020,2083,2819,0.464,3541,1865,1354,7430,4593,9363,3725,0.504,8.812119455554551,9,9
PHI,2020,2207,3025,0.471,3407,2258,1742,7506,5042,9445,3917,0.529,8.89544938536983,7,10
HOU,2020,1741,2613,0.449,3218,2001,1582,7106,4662,9341,3449,0.551,8.897670927004413,11,11
NOP,2020,2216,2969,0.473,3581,1921,1462,7610,4844,9466,3878,0.536,9.09496277486872,10,12
WAS,2020,2154,2679,0.468,3456,1963,1508,7424,4735,9350,3473,0.543,9.521413885332436,17,13
ATL,2020,2118,2825,0.451,3392,1918,1443,7417,4597,9294,3780,0.518,10.343045570263456,13,14
BRK,2020,1954,2919,0.449,3301,2088,1555,7581,5095,9204,3819,0.513,10.410135685219245,15,15
UTA,2020,2133,2981,0.468,3314,2092,1540,7253,4980,9161,3801,0.541,13.204695037024806,14,16
OKC,2020,1917,2911,0.454,3497,2049,1461,7272,4680,9387,3942,0.51,13.389514090093229,12,17
MIN,2020,2018,2750,0.456,3413,1995,1570,7386,4634,9223,3673,0.504,14.230092054045485,16,18
CHO,2020,1905,2778,0.448,3297,1895,1510,7311,4563,9081,3592,0.507,14.30007391034593,19,19
DAL,2020,1918,2884,0.447,3182,2076,1541,7315,4648,8927,3716,0.524,15.730144438457984,22,20
PHO,2020,1957,2563,0.459,3289,1858,1447,7230,4776,8815,3311,0.525,16.081841140532106,20,21
DEN,2020,2245,2832,0.466,3439,1714,1294,7084,4466,9075,3804,0.527,16.980341664500315,23,22
IND,2020,2128,2766,0.475,3390,1727,1298,7059,4426,8857,3528,0.517,18.22729624600362,21,23
DET,2020,1845,2752,0.44,3185,1893,1415,6969,4691,8778,3688,0.5,19.153905458588838,25,24
ORL,2020,2095,2902,0.454,3316,1575,1231,7185,4710,8800,3724,0.509,20.211292246042603,24,25
MEM,2020,1963,2703,0.45,3113,1882,1453,6836,4197,8490,3426,0.505,21.41256260432567,27,26
MIA,2020,1991,2879,0.45,3251,1782,1238,7116,4399,8668,3800,0.509,21.8098914217928,29,27
NYK,2020,1646,2811,0.433,3134,1956,1484,7352,4679,8575,3668,0.479,22.91759837067653,28,28
CHI,2020,1796,2799,0.453,3266,1695,1328,7316,4607,8605,3517,0.496,25.00271701623089,30,29
CLE,2020,1698,2619,0.444,3189,1694,1342,7148,4558,8567,3498,0.488,25.032365877325788,26,30
